,Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,Customer Lifetime Value,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies
3674,XW63353,Oregon,Yes,Extended,High School or Below,2/13/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Medsize,0.11659160772303975,0.9931779391703698,0.0014641443820693411,0.0005751995786700984,0.0012201203183911176,0.0,0.00012201203183911176
3675,JZ31045,California,No,Basic,College,2/4/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Medsize,0.027840365018475813,0.9996117930760465,0.0006853732655481034,6.137671034759135e-05,0.0008388150414170818,0.0,1.0229451724598558e-05
3676,UM27359,Arizona,No,Basic,Bachelor,2/15/11,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer2,Web,Four-Door Car,Medsize,0.1502019645915263,0.9886536953877679,0.0012575243854114552,0.00015968563624272448,0.0012774850899417958,0.0,3.992140906068112e-05
3677,ND71187,Arizona,No,Extended,Master,2/26/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Large,0.1663699137080297,0.9860617174737449,0.0013852875656718627,0.0005260585692424795,0.001069652424126375,0.0,3.507057128283196e-05
3678,YR63096,Nevada,No,Basic,High School or Below,1/14/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Small,0.07531969618851897,0.9971587113639362,0.0009323950548512923,0.00011339939856299502,0.0007433960572463006,0.0,0.00011339939856299502
3679,SN21895,Arizona,No,Extended,Bachelor,2/27/11,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,0.43989045127483467,0.8980160471418679,0.005626323033743365,0.0019897971704702145,0.0052832545560760865,0.0,0.00020584108660036702
3680,FY90924,Arizona,No,Basic,High School or Below,1/5/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,0.039969921112950946,0.9992002199331947,0.000991041100734001,0.00013575905489506863,0.0005701880305592883,0.0,1.3575905489506864e-05
3681,CN30964,California,No,Extended,Bachelor,2/26/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,Two-Door Car,Small,0.20751392319259282,0.9782253509528859,0.002607193878860374,0.0010242547381237184,0.00229681365518652,6.207604473477081e-05,9.311406710215622e-05
3682,BN14307,Oregon,No,Basic,College,2/2/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Medsize,0.9998653833831025,0.0,0.014701832198175903,0.005113680764582923,0.004900610732725301,0.0,0.0017045602548609743
3683,XG35514,California,No,Basic,High School or Below,2/19/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Medsize,0.9998422244852098,0.0,0.01532183233099863,0.006217555148811039,0.006439610689840004,0.0004441110820579313,0.000666166623086897
3684,RL28918,California,No,Basic,High School or Below,2/21/11,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer3,Branch,SUV,Small,0.36463330155669915,0.9311481386883381,0.002297603834668007,8.83693782564618e-05,0.0006406779923593481,0.0,4.41846891282309e-05
3685,SR74929,Oregon,No,Extended,High School or Below,1/22/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Call Center,SUV,Medsize,0.9998923129593961,0.0,0.014057421907920288,0.00243098273595614,0.003382236850025934,0.0,0.0006341694093798627
3686,HK93338,Washington,No,Basic,High School or Below,2/20/11,Disabled,F,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,0.31653969473979876,0.9485748280862886,0.0027536565752852,0.0007183451935526608,0.0005587129283187362,0.0,7.981613261696232e-05
3687,QR53727,Arizona,No,Basic,High School or Below,2/28/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Web,SUV,Medsize,0.999874078095538,0.0,0.013667035439740452,0.0006269282311807547,0.00802468135911366,0.0,0.0005015425849446037
3688,SQ35375,Oregon,No,Basic,Doctor,2/20/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,0.22160199689826668,0.9751332485089086,0.0027621687269484842,4.3843948046801335e-05,4.3843948046801335e-05,0.0,0.000263063688280808
3689,UD77728,Arizona,No,Basic,Bachelor,2/26/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,0.23359855427999626,0.9723283164728964,0.002972723515331148,0.0007018930522309655,0.0001238634798054645,0.0,0.0001238634798054645
3690,GP13187,California,No,Basic,Master,1/12/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Luxury Car,Medsize,0.9999159623222641,0.0,0.012735789165961589,6.703046929453468e-05,0.0024130968946032487,0.0,0.00020109140788360404
3691,AQ70619,California,No,Basic,High School or Below,1/8/11,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,0.18067041468614817,0.9835423189224046,0.000900121800095127,0.0003600487200380508,0.0013294106586020336,1.3848027693771184e-05,2.769605538754237e-05
3692,IP65887,Oregon,No,Basic,Bachelor,2/26/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Call Center,SUV,Medsize,0.47250634936483715,0.8813256967342474,0.0012916531483040587,0.00023372771255025825,0.0010210210600879702,0.0,2.46029171105535e-05
3693,KS98084,California,No,Basic,Master,2/7/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize,0.10014459876548798,0.9949716759622218,0.0012446283101804892,0.00047414411816399586,0.0007902401969399932,0.0,0.00015804803938799863
3694,QU55718,California,No,Extended,Bachelor,2/12/11,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Sports Car,Large,0.11734421415842523,0.9930900280185802,0.0014536048798946004,0.00025651850821669416,0.0005878549146632575,0.0,8.550616940556472e-05
3695,TS31417,Washington,No,Basic,College,1/26/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Web,SUV,Medsize,0.9224578778731514,0.3860820490583542,0.0027138239555318374,0.000440706454317136,0.002133947041956659,0.0,4.639015308601432e-05
3696,QG83213,California,No,Extended,College,2/27/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Small,0.9998956004152587,0.0,0.014329197248104747,0.001067067880178013,0.0012195061487748722,0.0,0.000914629611581154
3697,SA40041,Washington,No,Basic,Bachelor,2/22/11,Employed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small,0.24438867080770674,0.9696688369209635,0.0031027362626120077,0.0006800517835861934,0.0025076909519740885,0.0,0.0003825291282672338
3698,MC36247,Oregon,Yes,Basic,Bachelor,2/24/11,Retired,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,SUV,Medsize,0.5851649406679624,0.8109031859639809,0.0037653643644726645,0.00039074535857735196,0.001918204487561546,0.0,7.104461065042764e-05
3699,FO13070,California,Yes,Basic,High School or Below,2/26/11,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Call Center,Four-Door Car,Medsize,0.11247208691535511,0.9936537283202742,0.0014399086651725277,0.0004475391797157856,0.0,0.0,0.00015566580164027324
3700,VL97142,Oregon,No,Basic,College,2/22/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer3,Agent,SUV,Medsize,0.3572200764370641,0.9340189538107676,0.0014997311941726311,6.81695997351196e-05,0.00039538367846369367,0.0,2.726783989404784e-05
3701,CI57475,Arizona,No,Extended,College,1/18/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Small,0.9996370853791869,0.0,0.026579504323559097,0.003971650071336417,0.0018330692636937308,0.0,0.00030551154394895517
3702,KJ19260,Arizona,No,Basic,College,2/3/11,Employed,M,Rural,Divorced,Corporate Auto,Corporate L2,Offer2,Call Center,Four-Door Car,Medsize,0.12251749959401668,0.9924644864221279,0.0015961489538809303,0.0005494939021557301,0.0009158231702595501,0.0,0.00013083188146565002
3703,GN93462,California,No,Extended,Bachelor,1/22/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize,0.0725661378266066,0.9973631518740722,0.0009048150899008775,0.00027926391663607333,3.35116699963288e-05,0.0,3.35116699963288e-05
3704,QB86817,Oregon,No,Extended,High School or Below,1/15/11,Employed,F,Urban,Divorced,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Medsize,0.07558917114673108,0.9971383342396382,0.0009440002553497872,0.00021316134798221,0.0006902367458471563,0.0,8.120432304084191e-05
3705,AZ68072,Oregon,No,Basic,Bachelor,1/24/11,Medical Leave,F,Rural,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,0.18889722058372238,0.9819934759810317,0.002532837295342196,0.00020760961437231115,0.0004152192287446223,8.304384574892445e-05,0.00012456576862338668
3706,MZ43298,California,No,Extended,Bachelor,2/19/11,Employed,F,Urban,Single,Corporate Auto,Corporate L2,Offer1,Web,SUV,Medsize,0.05757587762867151,0.9983399122197847,0.001450447819055661,0.00034323574344065263,0.00046502907175830356,0.0,1.1072120756150085e-05
3707,KS12490,Oregon,No,Extended,High School or Below,1/19/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Call Center,Sports Car,Small,0.16166555396398558,0.9868433983778679,0.0019990487743354727,0.0003357181147738962,0.0004883172578529399,0.0,9.155948584742624e-05
3708,TL18087,Washington,No,Extended,Bachelor,2/27/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Medsize,0.0469539471128337,0.9988957046277678,0.0011817981539931797,0.000460440839218122,0.001043665902227743,0.0,1.53480279739374e-05
3709,ZT18953,Oregon,No,Basic,Bachelor,2/14/11,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Branch,SUV,Medsize,0.9998419044613107,0.0,0.013320282984834182,0.0030551107763381155,0.011365012087977789,0.0,0.0004888177242140984
3710,EF13716,Oregon,No,Basic,College,2/14/11,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Large,0.04456761005696608,0.9990056978827679,0.0011235550834578448,0.000231320164241321,0.00016522868874380072,1.6522868874380073e-05,1.6522868874380073e-05
3711,RN87402,California,No,Basic,College,2/8/11,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Branch,Four-Door Car,Small,0.9999605228513556,0.0,0.006653939467701201,0.003375186686515102,0.004821695266450146,0.0,0.00019286781065800583
3712,RJ40995,Arizona,Yes,Basic,Doctor,1/29/11,Employed,M,Rural,Divorced,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Large,0.06785414753883201,0.9976912831849036,0.001688647854480195,0.000817087671522675,0.0020971916902415328,0.0,2.7236255717422502e-05
3713,GB47529,Oregon,No,Extended,High School or Below,2/6/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Web,Sports Car,Medsize,0.13269362342595487,0.9911500037482658,0.0033441599808912413,9.835764649680121e-05,0.0016966694020698208,0.0,2.4589411624200302e-05
3714,MB63131,Oregon,No,Basic,Bachelor,2/28/11,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Call Center,Four-Door Car,Medsize,0.9998965025917159,0.0,0.013753478270728016,0.0010744904899006264,0.0038681657636422547,0.00021489809798012525,0.0012893885878807515
3715,KN57002,Arizona,No,Extended,Bachelor,1/23/11,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L2,Offer1,Agent,SUV,Small,0.9998807890673295,0.0,0.014417227412187004,0.0035488559783844937,0.004214266474331586,0.0,0.0004436069972980617
3716,DR68556,Oregon,No,Basic,High School or Below,1/13/11,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize,0.0919751293873546,0.9957607550626049,0.0007608643666647386,0.00039799059179386324,0.0005969858876907949,0.0,2.3411211281991956e-05
3717,CS70768,California,No,Basic,High School or Below,1/24/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,0.9999472064753822,0.0,0.009462502409969624,0.003991993204205934,0.00014785160015577537,0.0,0.00029570320031155074
3718,XY33610,Washington,No,Basic,College,1/27/11,Employed,M,Urban,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,0.15853740921779733,0.9873526067645794,0.0006565516055212037,0.00015151190896643162,0.0005151404904858675,0.0,2.0201587862190884e-05
3719,LO17953,Oregon,No,Basic,Doctor,2/27/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Large,0.13363926965317435,0.9910283259696486,0.0016643458347464645,0.00025605320534560994,0.0007169489749677078,0.0,0.00023044788481104894
3720,LZ35469,California,Yes,Basic,Bachelor,2/14/11,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize,0.033636279100048114,0.9994333997274084,0.0008336101130254282,2.6050316032044633e-05,0.0008857107450895175,0.0,1.3025158016022316e-05
3721,BM27144,California,No,Basic,College,1/31/11,Employed,F,Rural,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,0.13205878945178953,0.9912410747773897,0.0011043315250104956,0.0003451036015657799,0.0005176554023486699,0.0,3.451036015657799e-05
3722,EA14700,California,No,Basic,Bachelor,1/26/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Small,0.9997500782636345,0.0,0.01469410568795301,0.0018116020711174943,0.01670699687808356,0.0,0.0012077347140783295
3723,FQ70521,California,No,Premium,High School or Below,2/11/11,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Large,0.09186280157002459,0.9957707911171091,0.0011422221996321006,6.174174052065409e-05,0.0006688688556404193,2.058058017355136e-05,3.0870870260327046e-05
3724,OA99158,California,Yes,Basic,Bachelor,1/3/11,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Agent,Two-Door Car,Medsize,0.9999942578720121,0.0,0.0030340145356205135,0.00042009432031668646,0.0014469915477574756,0.0,9.33542934037081e-05
3725,YS84064,Arizona,No,Premium,Bachelor,1/5/11,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Agent,SUV,Medsize,0.9999298794626811,0.0,0.011626150737107472,0.0018731020632006485,0.001227204800028011,0.0001937691789517912,0.00012917945263452748
3726,YD45065,Oregon,Yes,Basic,College,2/21/11,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,0.99987999506323,0.0,0.01353836988899972,0.0016062472749660687,0.0073428446855591705,0.0,0.00045892779284744815
3727,OC88207,California,No,Basic,Master,1/13/11,Employed,M,Rural,Married,Special Auto,Special L3,Offer2,Branch,Two-Door Car,Medsize,0.07199588282091589,0.9974044701999234,0.000890712592296573,0.0003227219537306424,0.00012908878149225697,0.0,3.872663444767709e-05
3728,IL47644,Oregon,No,Basic,High School or Below,1/3/11,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer2,Call Center,SUV,Medsize,0.1788763075544327,0.9838681797411326,0.0022408356851458004,0.00028262792425262347,0.0012516379502616182,0.0,6.056312662556217e-05
3729,CW27031,Washington,No,Extended,High School or Below,2/2/11,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L2,Offer1,Agent,SUV,Medsize,0.9999382989147241,0.0,0.00936678622071932,0.0005203770122621845,0.005947165854424965,0.0,0.00014867914636062412
3730,XX44146,California,No,Extended,High School or Below,1/26/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Two-Door Car,Small,0.9997772509909814,0.0,0.013764609249458916,0.005103731519462295,0.015156536027494087,0.0,0.0004639755926783904
3731,LH26131,Nevada,No,Premium,High School or Below,2/8/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Large,0.9996012530800152,0.0,0.027847115075826948,0.0005156873162190176,0.004641185845971158,0.0,0.0002578436581095088
3732,HU94030,Arizona,No,Extended,High School or Below,1/27/11,Employed,F,Rural,Single,Corporate Auto,Corporate L2,Offer1,Branch,SUV,Large,0.21160162733947793,0.977350517150382,0.002701656774860164,0.0005654630459009647,0.0017592183650252233,2.09430757741098e-05,6.282922732232941e-05
3733,GP39118,Washington,No,Basic,High School or Below,2/17/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Medsize,0.06961491322428708,0.9975733400970462,0.00087775307857701,0.00023685400533030428,0.0005991013076001814,0.0,9.752811984189e-05
3734,QL80658,Arizona,No,Extended,High School or Below,1/20/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Small,0.046663542740862624,0.9989099152101244,0.001162226450398226,0.0002964863393873026,0.00023718907150984206,0.0,1.1859453575492103e-05
3735,LU63980,Nevada,No,Basic,College,2/22/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Web,Two-Door Car,Large,0.9989127772452928,0.0,0.02789761539588498,0.0,0.03734680770739441,0.0,0.00044996153864330614
3736,HQ41200,Oregon,No,Premium,College,2/18/11,Employed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,0.29203044687439655,0.9564011808093047,0.0036984653978765518,0.0010985540785771936,7.323693857181291e-05,0.0,0.0003295662235731581
3737,DZ81394,Oregon,No,Basic,High School or Below,1/3/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,0.9999031257807204,0.0,0.013549416000589813,0.0022965111865406464,0.002181685627213614,0.0,0.00034447667798109696
3738,IN41344,Washington,No,Basic,College,1/15/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Medsize,0.12001811535534067,0.9927605161658267,0.003054774759710224,0.0014035451598668597,0.0033024591996867287,0.0,4.128073999608411e-05
3739,QJ22615,Arizona,No,Basic,Master,2/21/11,Employed,F,Suburban,Married,Special Auto,Special L3,Offer2,Call Center,Four-Door Car,Medsize,0.12741474570257622,0.991847748701991,0.0015922604524138495,0.0006786683895534441,0.0007047710199208841,0.0,0.00018271841257208108
3740,FJ24418,Arizona,No,Extended,Doctor,1/30/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Medsize,0.9994042939716763,0.0,0.025992905221326284,0.006019409630201876,0.021888762291643184,0.0,0.00027360952864553985
3741,JR45097,Oregon,No,Basic,College,1/23/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Luxury SUV,Medsize,0.9998690819346546,0.0,0.014395724930541682,0.0,0.007354337736254989,0.0,0.0007041387194286692
3742,DT82702,Arizona,Yes,Basic,College,1/26/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,0.999898327113739,0.0,0.009164888342505595,0.0022217911133346896,0.010692369732923195,0.0,0.0002777238891668362
3743,ME87834,Oregon,No,Basic,Bachelor,2/20/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,SUV,Medsize,0.06746272766583826,0.997719907663776,0.0017109434918908912,0.0003837630262185176,0.0008314865568067882,0.0,1.5990126092438236e-05
3744,DB91647,California,No,Basic,College,2/13/11,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer4,Web,Four-Door Car,Small,0.058512726139742566,0.9982863692749152,0.0007443967727037125,9.053474262612719e-05,0.00014083182186286453,0.0,6.0356495084084795e-05
3745,UM44109,Oregon,No,Basic,College,1/24/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize,0.08356877699331887,0.9965017559761155,0.0006868563475016437,0.0001690723316927123,9.510318657715068e-05,0.0,2.1134041461589036e-05
3746,RT22532,Arizona,Yes,Basic,Bachelor,2/25/11,Disabled,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,Sports Car,Large,0.21038193258933938,0.9776002010170596,0.005479881398898347,0.00042562185622511435,0.002660136601406965,0.0,5.3202732028139294e-05
3747,DU60004,Nevada,No,Extended,College,1/26/11,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer2,Web,Four-Door Car,Medsize,0.046331197446525106,0.9989247722505842,0.0011450635016484701,7.807251147603205e-05,0.0011840997573864863,0.0,1.3012085246005343e-05
3748,XR17548,Oregon,No,Basic,High School or Below,2/22/11,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Medsize,0.06418596568336067,0.9979373239349953,0.0007985019547584265,0.0004055882944804706,0.0006717556127332794,1.2674634202514705e-05,7.604780521508824e-05
3749,VR14881,Oregon,No,Extended,Bachelor,1/27/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Sports Car,Medsize,0.999867987600181,0.0,0.015310393298424489,0.0003533167684251805,0.005417523782519434,0.0,0.0003533167684251805
3750,FS81127,California,No,Basic,Bachelor,1/3/11,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Web,Four-Door Car,Medsize,0.9994679580326653,0.0,0.027610806853454208,0.0012363047844830242,0.01730826698276234,0.00041210159482767475,0.00041210159482767475
3751,VD19899,California,No,Premium,Doctor,2/28/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize,0.47885366306142363,0.8778923981086659,0.0019820123853207887,0.0003303353975534648,0.00026079110333168275,0.0,3.477214711089103e-05
3752,SP93911,California,No,Premium,High School or Below,2/23/11,Employed,F,Urban,Divorced,Corporate Auto,Corporate L1,Offer1,Agent,Two-Door Car,Medsize,0.10128478612909968,0.9948559975509021,0.0012619107220926793,0.00022943831310775987,0.0011357196498834113,1.1471915655387994e-05,3.441574696616398e-05
3753,GH49378,California,No,Basic,Bachelor,2/18/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,0.07488559017738335,0.997191604957778,0.0009324942647777236,0.0003700374066578268,0.000207220947728383,0.0,4.4404488798939215e-05
3754,MZ30958,Nevada,No,Extended,High School or Below,2/25/11,Retired,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Two-Door Car,Medsize,0.2939671064891457,0.9558012339412009,0.003939643281644519,0.00026264288544296797,0.0034143575107585837,0.0,0.00030641669968346265
3755,FU55433,Arizona,No,Basic,High School or Below,2/24/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Two-Door Car,Medsize,0.042742814202969555,0.9990855227382349,0.0010718428556885566,1.599765456251577e-05,0.00014397889106264195,0.0,1.599765456251577e-05
3756,SZ14518,California,No,Basic,College,1/18/11,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize,0.9999433069595145,0.0,0.008889516213024973,0.0018519825443802024,0.005555947633140607,0.0,0.00024693100591736034
3757,XI58886,California,No,Basic,High School or Below,1/9/11,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer2,Branch,Two-Door Car,Medsize,0.04001353699596759,0.9991982662357911,0.0010019321095633138,0.0,0.000858798951054269,0.0,1.4313315850904484e-05
3758,NL17031,Washington,No,Extended,High School or Below,2/28/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Medsize,0.9995022685547506,0.0,0.028245358680262983,0.010423882370097054,0.009415119560087662,0.0,0.00033625427000313077
3759,OB32861,Nevada,No,Extended,High School or Below,1/21/11,Unemployed,M,Suburban,Married,Special Auto,Special L2,Offer4,Web,Two-Door Car,Medsize,0.9998531338929817,0.0,0.013356483575592491,0.002226080595932082,0.010494379952251243,0.0,0.0004770172705568747
3760,AZ84403,Oregon,No,Extended,College,2/4/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer3,Branch,Luxury SUV,Medsize,0.9999924388754249,0.0,0.003847978608196175,0.0003071915695618795,0.0004688713430155003,0.0,3.233595469072416e-05
3761,PU34934,Arizona,No,Extended,College,1/23/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Medsize,0.41783283923385905,0.9085155368505281,0.0035374260980862117,4.019802384188877e-05,0.0016481189775174395,0.0,8.039604768377753e-05
3762,WX87964,Washington,No,Basic,High School or Below,2/15/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,0.16467457394501023,0.9863410364389773,0.0020687802523415627,0.0007007158919221422,0.0029697006848128883,0.0,0.0002335719639740474
3763,VI12468,Oregon,No,Extended,Bachelor,2/24/11,Unemployed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Branch,SUV,Medsize,0.999989837000387,0.0,0.0037984917267878428,2.8560088171337162e-05,0.0024276074945636587,0.0,5.7120176342674324e-05
3764,RC44077,California,Yes,Basic,Bachelor,2/27/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Medsize,0.10433417851166119,0.9945376271566133,0.0026357660144874784,0.00014849385997112554,0.0015220620647040369,0.0,3.7123464992781384e-05
3765,ZQ48144,California,No,Extended,Bachelor,1/11/11,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer4,Web,Four-Door Car,Medsize,0.10339649835650876,0.9946345481522582,0.002587084659059495,0.00019900651223534577,0.0021322126310929904,0.0,2.8429501747906537e-05
3766,MA83261,Arizona,No,Basic,High School or Below,1/18/11,Employed,M,Rural,Divorced,Corporate Auto,Corporate L3,Offer2,Call Center,Two-Door Car,Medsize,0.04192603036533478,0.9991196785130226,0.0010686898848176296,0.00030103940417398016,0.0009181701827306394,0.0,1.5051970208699007e-05
3767,ER63193,California,No,Extended,High School or Below,1/25/11,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer1,Branch,Four-Door Car,Medsize,0.1562063094783156,0.9877208380828978,0.001943694663331383,0.0005669109434716533,0.001741226469234364,0.0,6.074045822910572e-05
3768,XZ34917,Washington,No,Basic,Bachelor,1/10/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Small,0.13622720783320774,0.9906748926343331,0.0017378990880216353,0.0005310247213399441,0.0014482492400180295,0.0,7.241246200090147e-05
3769,WH36754,Oregon,No,Basic,College,1/21/11,Employed,F,Urban,Divorced,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Small,0.5032711291063553,0.8641248794964512,0.001608287342464791,0.0002636536626991461,0.0019246717377037663,0.0,5.2730732539829216e-05
3770,ZG90341,Oregon,No,Premium,Bachelor,2/7/11,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,0.1479650638625902,0.9889899721615741,0.0019068760901154534,0.00032319933730770394,0.0011958375480385047,0.0,6.463986746154079e-05
3771,KR82385,California,No,Basic,Master,1/26/11,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Call Center,Two-Door Car,Medsize,0.08195248692385465,0.9966355549434895,0.0010366908868921032,0.0003756126401782983,0.0003756126401782983,0.0,6.009802242852773e-05
3772,MC48570,Arizona,No,Basic,Doctor,2/26/11,Disabled,F,Urban,Married,Personal Auto,Personal L2,Offer2,Web,Two-Door Car,Medsize,0.1312384456378549,0.9913373233238953,0.003293655969459381,0.0006906052839189024,0.003931137769999906,0.0,5.312348337837711e-05
