,customer,state,response,coverage,education,effective to date,employmentstatus,gender,location code,marital status,policy type,policy,renew offer type,sales channel,vehicle class,vehicle size,vehicle type
5683,QD86074,Oregon,Yes,Premium,High School or Below,1/21/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L1,Offer2,Web,Four-Door Car,Large,A
5689,VL34577,Oregon,No,Basic,High School or Below,2/9/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,A
5690,SR38658,Arizona,No,Basic,High School or Below,2/8/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Agent,Sports Car,Medsize,A
5691,PZ98142,Arizona,No,Extended,College,1/26/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer3,Branch,SUV,Medsize,A
5693,DA79544,Oregon,No,Basic,Bachelor,2/1/11,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Medsize,A
5694,IR45546,Oregon,No,Extended,Bachelor,1/18/11,Employed,F,Urban,Married,Special Auto,Special L3,Offer1,Branch,Sports Car,Medsize,A
5695,XU56756,Oregon,Yes,Basic,Bachelor,1/31/11,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer3,Agent,Four-Door Car,Medsize,A
5696,TU72516,Oregon,No,Basic,College,2/10/11,Disabled,F,Suburban,Married,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Medsize,A
5700,LR82946,Oregon,No,Basic,Bachelor,1/14/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Branch,Luxury SUV,Medsize,A
5704,ZY60545,California,No,Basic,College,1/10/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Large,A
5706,JL15127,Nevada,Yes,Basic,College,1/28/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,A
5707,TW81986,Arizona,No,Extended,Bachelor,1/20/11,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Agent,SUV,Medsize,A
5708,CV95479,California,No,Premium,Bachelor,2/15/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Small,A
5710,KV99550,California,No,Basic,High School or Below,2/14/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small,A
5713,UA51318,Arizona,No,Basic,High School or Below,2/17/11,Employed,F,Suburban,Single,Corporate Auto,Corporate L1,Offer2,Web,Four-Door Car,Medsize,A
5719,EA61783,California,No,Basic,Bachelor,1/15/11,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Branch,SUV,Medsize,A
5720,RQ22171,California,No,Basic,High School or Below,1/30/11,Unemployed,F,Rural,Single,Corporate Auto,Corporate L2,Offer2,Agent,SUV,Medsize,A
5721,MD43085,Oregon,No,Premium,Doctor,2/8/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize,A
5724,XH72278,Arizona,No,Extended,High School or Below,2/19/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Medsize,A
5725,EL11108,Oregon,No,Basic,Doctor,2/14/11,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Branch,SUV,Medsize,A
5731,DV36320,California,No,Extended,High School or Below,1/18/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer4,Branch,Luxury SUV,Medsize,A
5736,DX98298,Washington,No,Basic,High School or Below,1/8/11,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer4,Agent,Sports Car,Small,A
5739,ZB82406,Oregon,No,Extended,Bachelor,2/27/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Small,A
5740,IN65727,Washington,No,Basic,Master,1/15/11,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Medsize,A
5741,DA79098,California,No,Basic,Bachelor,1/19/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Small,A
5742,UX93878,Oregon,No,Basic,Bachelor,1/16/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Small,A
5744,QG15661,Oregon,No,Basic,College,2/8/11,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize,A
5745,XO38850,Arizona,No,Extended,College,2/4/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Small,A
5747,VD87432,Washington,No,Extended,Bachelor,1/12/11,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer3,Branch,SUV,Medsize,A
5748,QP76867,Oregon,No,Basic,College,2/21/11,Unemployed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Sports Car,Large,A
5749,CE17855,Oregon,No,Extended,Master,1/2/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Medsize,A
5750,VU71619,California,No,Basic,Bachelor,1/10/11,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer3,Agent,SUV,Medsize,A
5753,TP51897,California,No,Basic,College,2/20/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L1,Offer4,Agent,Four-Door Car,Medsize,A
5758,OL61964,California,No,Basic,Bachelor,2/16/11,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,A
5765,OP52966,Arizona,No,Basic,High School or Below,1/27/11,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Agent,Two-Door Car,Small,A
5767,WC35801,Arizona,No,Basic,High School or Below,2/7/11,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,A
5768,XE65072,Oregon,No,Extended,College,1/11/11,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Medsize,A
5769,YX84828,Oregon,No,Basic,Bachelor,1/24/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Small,A
5770,RB79317,Arizona,No,Extended,Bachelor,1/30/11,Unemployed,F,Rural,Married,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Medsize,A
5772,LV57595,California,Yes,Basic,Master,2/3/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Agent,Four-Door Car,Small,A
5774,EV46476,California,No,Basic,Bachelor,2/16/11,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Web,SUV,Small,A
5777,LW64678,California,No,Premium,Master,2/19/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Agent,SUV,Small,A
5778,CI38330,Washington,No,Basic,Bachelor,2/12/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,A
5780,CA62597,California,No,Basic,Bachelor,2/25/11,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Agent,SUV,Medsize,A
5783,ZU63258,California,No,Basic,Bachelor,1/19/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize,A
5785,MP53505,Washington,No,Extended,High School or Below,2/11/11,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer4,Agent,Sports Car,Medsize,A
5786,SH51981,Washington,No,Basic,College,2/21/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Small,A
5788,TO12347,California,No,Basic,Bachelor,2/5/11,Disabled,M,Suburban,Divorced,Personal Auto,Personal L2,Offer3,Call Center,Four-Door Car,Small,A
5792,AK44985,California,No,Basic,College,2/23/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,SUV,Large,A
5793,YU39743,Oregon,No,Extended,College,1/30/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Sports Car,Medsize,A
5796,CH85057,Oregon,No,Premium,Doctor,1/15/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer4,Agent,Luxury SUV,Medsize,A
5798,NR99710,Arizona,No,Basic,High School or Below,1/12/11,Disabled,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Two-Door Car,Medsize,A
5799,AR25213,Arizona,No,Basic,High School or Below,1/31/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Agent,Luxury SUV,Large,A
5800,LS92540,California,No,Basic,College,1/29/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer1,Call Center,SUV,Large,A
5817,MS41162,Arizona,No,Basic,High School or Below,1/26/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,A
5818,GW77328,Oregon,No,Basic,Doctor,2/3/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize,A
5820,WO81184,California,No,Basic,Bachelor,1/14/11,Employed,M,Urban,Single,Special Auto,Special L3,Offer3,Agent,Two-Door Car,Large,A
5823,HE85298,California,No,Basic,High School or Below,1/7/11,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer2,Branch,SUV,Medsize,A
5824,QM39493,California,No,Extended,High School or Below,1/23/11,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,A
5826,BM21532,Washington,No,Extended,Bachelor,1/26/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,A
5827,IC80537,California,Yes,Basic,College,2/9/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Web,Four-Door Car,Medsize,A
5829,IR73545,Oregon,Yes,Extended,College,1/8/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,SUV,Medsize,A
5830,PY64219,California,Yes,Extended,Master,1/31/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,SUV,Small,A
5831,JP41935,Washington,No,Basic,High School or Below,2/10/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,A
5832,SB61617,California,No,Basic,Master,1/30/11,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Call Center,SUV,Medsize,A
5833,XX73066,Arizona,No,Basic,Master,2/2/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,A
5834,DE34457,Oregon,No,Basic,Doctor,1/22/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer3,Call Center,SUV,Small,A
5840,EI85578,California,No,Basic,Bachelor,1/6/11,Unemployed,F,Rural,Married,Personal Auto,Personal L3,Offer3,Agent,SUV,Medsize,A
5842,UH93563,California,No,Basic,College,2/24/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Web,Four-Door Car,Small,A
5845,CE94751,California,No,Basic,College,2/6/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize,A
5847,RC62865,Oregon,No,Extended,College,1/23/11,Employed,M,Rural,Single,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Medsize,A
5848,YI68606,Oregon,No,Basic,High School or Below,2/12/11,Employed,F,Rural,Divorced,Corporate Auto,Corporate L3,Offer3,Agent,Two-Door Car,Medsize,A
5850,SQ54906,Oregon,Yes,Basic,College,2/22/11,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Small,A
5851,VU48786,Washington,No,Basic,Master,1/25/11,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Small,A
5853,AZ95587,Arizona,No,Extended,Bachelor,1/11/11,Employed,F,Urban,Single,Special Auto,Special L3,Offer3,Branch,Four-Door Car,Small,A
5854,OE19653,Oregon,No,Extended,High School or Below,2/26/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,Two-Door Car,Small,A
5856,GM54859,Oregon,No,Extended,High School or Below,1/21/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Large,A
5859,NG56399,Arizona,No,Basic,High School or Below,1/7/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L2,Offer3,Branch,Two-Door Car,Medsize,A
5861,AF36894,California,No,Basic,Bachelor,2/2/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer4,Agent,SUV,Medsize,A
5864,DS46955,California,No,Basic,Master,1/2/11,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize,A
5865,WP10197,Nevada,Yes,Basic,High School or Below,1/23/11,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Web,SUV,Medsize,A
5866,BU16704,Oregon,No,Extended,High School or Below,2/8/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Large,A
5867,IZ13533,Arizona,No,Premium,Bachelor,2/11/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Large,A
5868,GH31557,California,No,Basic,High School or Below,1/25/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Web,Two-Door Car,Small,A
5870,QR21417,California,Yes,Basic,Bachelor,1/30/11,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Web,Two-Door Car,Medsize,A
5873,NT77164,Arizona,No,Basic,Doctor,2/9/11,Medical Leave,M,Rural,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,A
5874,JV89183,Oregon,No,Premium,Bachelor,1/30/11,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Large,A
5875,DH18269,Arizona,No,Extended,College,1/13/11,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize,A
5880,BU71528,California,No,Premium,College,2/1/11,Disabled,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Call Center,Four-Door Car,Small,A
5882,QM60216,Oregon,No,Extended,College,1/10/11,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Luxury Car,Medsize,A
5884,VZ56705,Oregon,No,Basic,Bachelor,2/25/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,A
5885,KG16176,Washington,No,Basic,College,1/19/11,Unemployed,F,Urban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,A
5888,CP38401,Oregon,No,Extended,High School or Below,1/31/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Web,Sports Car,Medsize,A
5890,GE26813,Arizona,No,Basic,High School or Below,1/6/11,Unemployed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Small,A
5896,TY31217,Washington,Yes,Premium,Bachelor,1/24/11,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Luxury Car,Medsize,A
5897,HY16703,Oregon,No,Extended,College,2/20/11,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,A
5900,CF62992,Oregon,No,Basic,High School or Below,1/16/11,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Medsize,A
5901,JH36501,Arizona,No,Basic,Doctor,1/23/11,Employed,M,Urban,Single,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Medsize,A
5902,OJ58066,Nevada,No,Extended,High School or Below,2/14/11,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,A
5903,TP61305,California,No,Extended,High School or Below,2/18/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Web,Four-Door Car,Medsize,A
5906,AI58313,Nevada,No,Basic,College,1/30/11,Employed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Call Center,Sports Car,Medsize,A
5907,AI14767,California,No,Basic,High School or Below,2/19/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Call Center,SUV,Small,A
5908,CM55703,Washington,No,Basic,College,2/9/11,Employed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,A
5911,YO58424,Oregon,Yes,Basic,College,2/9/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L1,Offer2,Web,Four-Door Car,Medsize,A
5913,LN43251,Oregon,No,Extended,High School or Below,1/5/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Web,SUV,Medsize,A
5914,ZB32409,California,No,Basic,Bachelor,2/11/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,A
5915,BQ88033,Oregon,No,Extended,College,2/17/11,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer1,Branch,Sports Car,Medsize,A
5916,VN44400,California,No,Basic,College,2/4/11,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer3,Branch,Two-Door Car,Medsize,A
5917,ZG56744,California,Yes,Basic,Bachelor,1/19/11,Employed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,A
5919,XL81489,California,No,Premium,Bachelor,2/25/11,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Sports Car,Small,A
5923,BK76340,California,No,Extended,High School or Below,2/7/11,Disabled,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Luxury SUV,Medsize,A
5924,FD64348,Oregon,No,Basic,High School or Below,1/17/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer4,Branch,Two-Door Car,Large,A
5925,ME47990,California,No,Extended,High School or Below,1/31/11,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,A
5926,UX87980,Nevada,No,Extended,College,2/26/11,Employed,M,Urban,Single,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,A
5929,LR43989,Oregon,No,Basic,High School or Below,1/17/11,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Web,Four-Door Car,Small,A
5931,GL82358,Nevada,Yes,Basic,High School or Below,2/14/11,Employed,F,Rural,Single,Corporate Auto,Corporate L3,Offer2,Agent,Four-Door Car,Medsize,A
5936,SN26999,Oregon,No,Extended,High School or Below,2/28/11,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Small,A
5937,MZ84108,Arizona,No,Extended,Bachelor,1/2/11,Employed,M,Urban,Single,Personal Auto,Personal L3,Offer1,Branch,Sports Car,Medsize,A
5941,JU47573,California,No,Basic,Bachelor,1/29/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Large,A
5947,HL35876,Washington,Yes,Basic,College,1/31/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,A
5948,WJ88394,Nevada,No,Basic,College,1/29/11,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize,A
5950,TG97744,Oregon,Yes,Extended,Bachelor,1/26/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Medsize,A
5951,OC47565,Oregon,No,Basic,College,1/9/11,Employed,F,Suburban,Married,Special Auto,Special L3,Offer4,Branch,Four-Door Car,Medsize,A
5952,TP52309,California,No,Extended,High School or Below,1/27/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L1,Offer3,Agent,Sports Car,Medsize,A
5954,DJ34695,California,No,Basic,High School or Below,1/27/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer4,Branch,Luxury Car,Medsize,A
5955,LW91009,Washington,No,Basic,College,2/16/11,Disabled,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,A
5957,LJ93770,Arizona,No,Basic,Doctor,1/29/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Branch,SUV,Medsize,A
5958,VW88885,California,No,Basic,Bachelor,1/14/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer3,Call Center,Four-Door Car,Medsize,A
5959,FQ32742,Arizona,No,Basic,Doctor,1/24/11,Employed,M,Urban,Divorced,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize,A
5960,EE28119,Arizona,No,Premium,Bachelor,2/3/11,Employed,F,Urban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,A
5968,YJ99764,Nevada,No,Basic,High School or Below,1/27/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,A
5971,IB87349,California,No,Premium,High School or Below,2/25/11,Employed,M,Suburban,Married,Special Auto,Special L2,Offer1,Agent,Four-Door Car,Small,A
5972,PJ54354,California,No,Basic,Bachelor,1/21/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Call Center,Four-Door Car,Medsize,A
5979,OL48469,Nevada,No,Basic,High School or Below,1/6/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,A
5981,VD37089,Washington,No,Extended,College,1/7/11,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L1,Offer2,Branch,Four-Door Car,Medsize,A
5982,WD48852,Oregon,No,Basic,College,1/4/11,Unemployed,F,Suburban,Single,Special Auto,Special L2,Offer3,Agent,Luxury SUV,Medsize,A
5991,WU62992,Oregon,No,Extended,Bachelor,2/10/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer4,Agent,SUV,Small,A
5992,FD14790,Oregon,No,Extended,Bachelor,2/10/11,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer4,Branch,Four-Door Car,Small,A
5997,WO12850,Nevada,No,Premium,Bachelor,2/17/11,Employed,F,Rural,Divorced,Corporate Auto,Corporate L3,Offer3,Agent,Four-Door Car,Medsize,A
6003,KG53604,Oregon,Yes,Basic,College,1/28/11,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize,A
6005,VB22338,Nevada,No,Basic,High School or Below,1/3/11,Employed,M,Urban,Single,Special Auto,Special L3,Offer4,Agent,SUV,Small,A
6011,TJ46491,Oregon,No,Extended,College,2/17/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Large,A
6019,VD51297,California,No,Basic,College,1/9/11,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Small,A
6022,ZG12619,Washington,Yes,Basic,Bachelor,1/12/11,Disabled,F,Suburban,Married,Personal Auto,Personal L1,Offer2,Call Center,Four-Door Car,Medsize,A
6025,QD34785,Arizona,Yes,Extended,Bachelor,1/19/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Small,A
6027,EC66666,Arizona,No,Basic,College,1/1/11,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Web,Two-Door Car,Medsize,A
6031,OM92482,Arizona,No,Basic,Bachelor,2/9/11,Disabled,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Large,A
6034,SE21603,California,No,Basic,Bachelor,1/23/11,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Medsize,A
6037,ID58230,California,No,Basic,College,1/2/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Medsize,A
6038,AN21193,Washington,No,Basic,Bachelor,1/10/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,A
6040,SV68939,Arizona,No,Extended,Master,2/27/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,SUV,Medsize,A
6044,AA11235,Nevada,No,Basic,Bachelor,1/28/11,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize,A
6045,RH97231,Washington,No,Basic,Bachelor,1/1/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize,A
6046,GR49281,California,Yes,Basic,Bachelor,1/18/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L2,Offer2,Branch,Two-Door Car,Medsize,A
6047,DJ91267,Nevada,No,Extended,Bachelor,2/18/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Luxury SUV,Small,A
6048,PF78020,California,No,Basic,College,2/15/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Small,A
6050,YC45944,Arizona,Yes,Premium,College,2/28/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Large,A
6052,ZE40223,Oregon,No,Basic,College,1/31/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Sports Car,Small,A
6053,TM23514,Oregon,No,Extended,College,1/1/11,Employed,M,Urban,Single,Personal Auto,Personal L3,Offer3,Web,SUV,Medsize,A
6054,YQ74870,Washington,No,Extended,High School or Below,2/12/11,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L2,Offer2,Web,Four-Door Car,Small,A
6055,JF83834,Oregon,Yes,Basic,Doctor,1/29/11,Employed,M,Rural,Divorced,Corporate Auto,Corporate L1,Offer1,Agent,Four-Door Car,Large,A
6056,QR53727,Arizona,No,Basic,High School or Below,2/28/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Web,SUV,Medsize,A
6060,TZ60132,Oregon,No,Extended,High School or Below,2/5/11,Retired,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Medsize,A
6061,WA97671,Arizona,No,Basic,Bachelor,1/17/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Four-Door Car,Medsize,A
6067,VS73599,Arizona,Yes,Basic,College,1/23/11,Retired,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,A
6069,CX18273,Arizona,No,Basic,Master,2/25/11,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer3,Agent,Luxury Car,Medsize,A
6073,NT25078,Nevada,No,Extended,Bachelor,1/29/11,Employed,M,Suburban,Married,Special Auto,Special L2,Offer4,Agent,Four-Door Car,Medsize,A
6074,FK97285,California,No,Extended,High School or Below,2/26/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Web,Four-Door Car,Medsize,A
6079,AH39293,California,Yes,Basic,College,2/25/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Two-Door Car,Medsize,A
6081,QK69627,Washington,No,Extended,High School or Below,1/20/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,A
6082,MB69465,Arizona,No,Extended,High School or Below,1/26/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,A
6089,DQ34772,Arizona,No,Extended,High School or Below,2/20/11,Unemployed,M,Rural,Married,Personal Auto,Personal L3,Offer4,Branch,Four-Door Car,Medsize,A
6092,PY48656,Arizona,No,Extended,Master,1/31/11,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Medsize,A
6094,YT96284,Oregon,No,Extended,Master,2/12/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Medsize,A
6095,SZ60342,Arizona,No,Basic,College,1/13/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Small,A
